id,name,score,complianceLevel,assignees,due,priority,status,issues,url
86czzwg4q,"Exit Message When on leave",70,poor,"Abhiram s Kumar",Not set,normal,"to do","No due date;Description missing expected output/definition of done",https://app.clickup.com/t/86czzwg4q
86czzwckw,"Clickup task quality checking based on ai",55,poor,"Abhiram s Kumar",Not set,normal,"to do","No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czzwckw
86czzk1n6,"Store Insights - Backend Development 
",55,poor,"Abhiram s Kumar",2025-08-14,high,"to do","Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86czzk1n6
86czyug8y,"We need to enhance the Day Book module by adding an RBL (Refund Bank Ledger) value field for: Cancellation Refunds Security Refunds Why:",25,poor,"Unassigned",Not set,Not set,"to do","No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyug8y
86czyug77,"Impelement Edit Option in Daybook",25,poor,"Unassigned",Not set,normal,"to do","Missing/short description (<15);No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyug77
86czyudfu,"Day Book – Add RBL Value for Cancellation Refund & Security Refund – Backend",25,poor,"Unassigned",Not set,Not set,"to do","No assignee;No due date;No priority;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyudfu
86czyt7v9,"Create Wireframes for ZiyAI Project",40,poor,"Lakshmi K M",2025-08-11,high,"in progress","Missing/short description (<15);Description missing context (what/why);Description missing expected output/definition of done;Overdue but not completed",https://app.clickup.com/t/86czyt7v9
86czyr9de,"Training Task – Module 1",70,poor,"Lakshmi K M;Abhiram s Kumar;Sanu Sujanan N",Not set,normal,"to do","No due date;Description missing context (what/why)",https://app.clickup.com/t/86czyr9de
86czyr3ej,"Test task from Postman",40,poor,"Unassigned",Not set,normal,"to do","No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyr3ej
86czyqx00,"Test task from Postman",40,poor,"Unassigned",Not set,normal,"to do","No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyqx00
86czyqupt,"Test task from Postman",40,poor,"Unassigned",Not set,normal,"to do","No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyqupt
86czyqpw6,"Test task from Postman",40,poor,"Unassigned",Not set,normal,"to do","No assignee;No due date;Description missing context (what/why);Description missing expected output/definition of done",https://app.clickup.com/t/86czyqpw6
